0x4103d0	AbstractClass_Load_ClearExtensionSlot
0x412b40	AircraftTrackerClass_FillCurrentVector
0x413d30	AircraftClass_CTOR
0x414057	TechnoClass_Init_InitialStrength
0x4141fa	AircraftClass_DTOR
0x4143a8	AircraftClass_UnLimbo_CargoPlane
0x414665	AircraftClass_Draw_ExtraSHP
0x4146ea	AircraftClass_DrawIt_SkipShadowPoint
0x4147f9	AircraftClass_Draw_Shadow
0x4148f4	AircraftClass_DrawIt_LevelIntensity
0x414987	AircraftClass_Draw_Extra
0x414c0b	AircraftClass_ChronoSparkleDelay
0x414d4d	AircraftClass_Update_ClearTargetIfNoAmmo
0x414da8	AircraftClass_Update_UnlandableDamage
0x414f10	AircraftClass_AI_Trailer
0x415666	AircraftClass_Mission_SpyPlaneApproach_MaxCount
0x4157eb	AircraftClass_Mission_SpyPlaneOverfly_MaxCount
0x415a00	AircraftClass_Mission_Paradrop_Overfly_Delay
0x415a7a	AircraftClass_Mission_Retreat_PickEdgeCell
0x415eee	AircraftClass_Fire_KickOutPassengers
0x415f25	AircraftClass_Fire_TrajectorySkipInertiaEffect
0x415f5c	AircraftClass_FireAt_SpeedModifiers
0x416a0a	AircraftClass_Mission_Move_SmoothMoving
0x4179f7	AircraftClass_EnterIdleMode_NoCrash
0x417ff1	AircraftClass_Mission_Attack_StrafeShots
0x4180f4	AircraftClass_Mission_Attack_WeaponRange
0x41810f	AircraftClass_MissionAttack_WeaponRangeCheck1
0x4183c3	AircraftClass_CurleyShuffle_FireAtTarget
0x418403	AircraftClass_Mission_Attack_FireAtTarget_BurstFix
0x41847e	AircraftClass_MissionAttack_ScatterCell1
0x4184cc	AircraftClass_Mission_Attack_Delay1A
0x418506	AircraftClass_Mission_Attack_Delay1B
0x418544	AircraftClass_Mission_Attack_StrafingDestinationFix
0x418671	AircraftClass_CurleyShuffle_FireOk
0x4186b6	AircraftClass_Mission_Attack_FireAtTarget2_BurstFix
0x4186dd	AircraftClass_MissionAttack_ScatterCell2
0x418733	AircraftClass_CurleyShuffle_FireFacing
0x418782	AircraftClass_CurleyShuffle_Default
0x41879d	AircraftClass_Mission_Attack_StrafeCell
0x418805	AircraftClass_Mission_Attack_FireAtTarget2Strafe_BurstFix
0x418883	AircraftClass_Mission_Attack_Delay2
0x418914	AircraftClass_Mission_Attack_FireAtTarget3Strafe_BurstFix
0x418992	AircraftClass_Mission_Attack_Delay3
0x418a23	AircraftClass_Mission_Attack_FireAtTarget4Strafe_BurstFix
0x418aa1	AircraftClass_Mission_Attack_Delay4
0x418b1f	AircraftClass_Mission_Attack_FireAtTarget5Strafe_BurstFix
0x418b8a	AircraftClass_Mission_Attack_Delay5
0x418ba8	AircraftClass_MissionAttack_WeaponRangeCheck2
0x418cd1	AircraftClass_Mission_Attack_ContinueFlyToDestination
0x418cf3	AircraftClass_Mission_Attack_PlanningFix
0x41915d	AircraftClass_ReceiveCommand_QueryPreparedness
0x4197f3	AircraftClass_GetFireLocation_Strafing
0x4197fc	AircraftClass_GetFireLocation_WeaponRange
0x419ef6	AircraftClass_Mission_Enter_FixNotCarryall
0x41a5c7	AircraftClass_Mission_Guard_StartAreaGuard
0x41a96c	AircraftClass_Mission_AreaGuard
0x41aa80	AircraftClass_AssignDestination_SyncLog
0x41ae00	AircraftClass_See_DynamicSight
0x41bb30	AircraftClass_OverrideMission_SyncLog
0x41c8c0	AircraftTypeClass_CTOR
0x41cd54	AircraftTypeClass_ReadINI
